"","line","sentiment","value","longitude","latitude","year","lad17nm","lad17cd","lad17id","population","income_tot_mean"
"74",169,"negative",-2,-0.306996,51.4405145,2020,"Richmond Upon Thames","E09000027",320,NA,NA
"75",131,"negative",-3,-0.2631407,51.5651955,2020,"Brent","E09000005",298,NA,NA
"76",14,"positive",3,-0.25275396881444,51.3854457438995,2020,"Kingston Upon Thames","E09000021",314,NA,NA
"77",48,"positive",2,-0.25275396881444,51.3854457438995,2020,"Kingston Upon Thames","E09000021",314,NA,NA
"78",45,"positive",6,-0.21089455,51.61188465,2020,"Barnet","E09000003",296,NA,NA
"79",123,"positive",5,-0.20434,52.58346,2020,"Peterborough","E06000031",31,NA,NA
"80",17,"positive",3,-0.1937195,51.4516565,2020,"Wandsworth","E09000032",325,NA,NA
"81",19,"negative",-7,-0.1937195,51.4516565,2020,"Wandsworth","E09000032",325,NA,NA
"82",56,"positive",4,-0.1937195,51.4516565,2020,"Wandsworth","E09000032",325,NA,NA
"83",118,"negative",-1,-0.1937195,51.4516565,2020,"Wandsworth","E09000032",325,NA,NA
"84",154,"negative",-6,-0.1937195,51.4516565,2020,"Wandsworth","E09000032",325,NA,NA
"85",10,"positive",1,-0.1917231,50.83957475,2020,"Brighton and Hove","E06000043",43,NA,NA
"86",87,"positive",3,-0.189289,51.4108755,2020,"Merton","E09000024",317,NA,NA
"87",134,"positive",5,-0.189289,51.4108755,2020,"Merton","E09000024",317,NA,NA
"88",155,"negative",-2,-0.16654195,51.204877,2020,"Reigate and Banstead","E07000211",229,NA,NA
"89",27,"negative",-3,-0.159403,51.5424365,2020,"Camden","E09000007",300,NA,NA
"90",59,"negative",-2,-0.159403,51.5424365,2020,"Camden","E09000007",300,NA,NA
"91",63,"negative",-2,-0.1446715,52.780998,2020,"South Holland","E07000140",169,NA,NA
"92",108,"positive",4,-0.13035585,50.840332,2020,"Brighton and Hove","E06000043",43,NA,NA
"93",28,"negative",-3,-0.115406,51.4603395,2020,"Lambeth","E09000022",315,NA,NA
"94",101,"positive",2,-0.092633,51.358931,2020,"Croydon","E09000008",301,NA,NA
"95",141,"positive",8,-0.088160668539883,51.4892630317277,2020,"Southwark","E09000028",321,NA,NA
"96",175,"positive",1,-0.0777585,51.796608,2020,"East Hertfordshire","E07000242",256,NA,NA
"97",64,"positive",3,-0.0601675,51.5476447,2020,"Hackney","E09000012",305,NA,NA
"98",76,"positive",3,-0.0601675,51.5476447,2020,"Hackney","E09000012",305,NA,NA
"99",98,"negative",-6,-0.0601675,51.5476447,2020,"Hackney","E09000012",305,NA,NA
"100",125,"negative",-6,-0.0350195,51.5148305,2020,"Tower Hamlets","E09000030",323,NA,NA
"101",15,"positive",5,-0.018734,51.59925535,2020,"Waltham Forest","E09000031",324,NA,NA
"102",162,"negative",-2,0.00596015,50.87338,2020,"Lewes","E07000063",96,NA,NA
"103",151,"positive",4,0.01498965,51.4715045,2020,"Greenwich","E09000011",304,NA,NA
"104",183,"positive",2,0.01498965,51.4715045,2020,"Greenwich","E09000011",304,NA,NA
"105",31,"positive",1,0.07886275,51.58499,2020,"Redbridge","E09000026",319,NA,NA
"106",128,"positive",1,0.1318699,51.4438459,2020,"Bexley","E09000004",297,NA,NA
"107",129,"negative",-3,0.1318699,51.4438459,2020,"Bexley","E09000004",297,NA,NA
"108",102,"positive",1,0.2515055,51.142153,2020,"Tunbridge Wells","E07000116",145,NA,NA
"109",121,"positive",2,0.511578099341896,52.220450544867,2020,"Forest Heath","E07000201",219,NA,NA
"110",137,"positive",1,0.886526,51.1680959,2020,"Ashford","E07000105",134,NA,NA
"111",127,"positive",1,0.89889095,51.88870145,2020,"Colchester","E07000071",104,NA,NA
"112",58,"negative",-5,1.3579225,51.3794825,2020,"Thanet","E07000114",143,NA,NA
